source,target,weight
0,50,0.7320151925086975
1,4,0.7924614548683167
3,8,0.9146739840507507
3,9,0.8820338249206543
3,13,0.8913660049438477
3,25,0.9032270312309265
3,31,0.8973464965820312
4,16,0.71683269739151
4,36,0.7091614007949829
4,42,0.919036865234375
8,11,0.7498108148574829
8,31,0.7567760944366455
8,42,0.7577744722366333
8,54,0.8827051520347595
9,32,0.7544904351234436
9,36,0.7121502161026001
10,16,0.6833464503288269
13,21,0.8282490968704224
13,30,0.7445810437202454
13,35,0.8375936150550842
13,38,0.8618664145469666
16,47,0.8151503205299377
19,29,0.6771705746650696
21,31,0.7938916683197021
21,40,0.8017327785491943
21,43,0.874666154384613
25,38,0.8518686890602112
25,47,0.7245485186576843
27,29,0.902535617351532
27,38,0.8141034841537476
27,40,0.7124172449111938
27,57,0.7091829776763916
28,50,0.7352450489997864
29,39,0.6803570985794067
30,54,0.8010658621788025
31,35,0.7008558511734009
31,36,0.7333665490150452
32,43,0.8586268424987793
32,53,0.682537853717804
35,43,0.7986069321632385
36,51,0.7052893042564392
38,40,0.881989598274231
38,41,0.778104841709137
40,54,0.8654804229736328
42,43,0.8324252367019653
42,46,0.8551849722862244
42,54,0.824800431728363
43,54,0.8329058885574341
46,50,0.7408202886581421
47,50,0.8176248073577881
