source,target,weight
0,39,0.6683160066604614
0,41,0.6769392490386963
0,46,0.6626629829406738
0,50,0.7320151925086975
1,4,0.7924614548683167
1,9,0.69206702709198
1,28,0.6447614431381226
1,31,0.699872612953186
3,4,0.8005669116973877
3,6,0.8005945682525635
3,8,0.9146739840507507
3,9,0.8820338249206543
3,13,0.8913660049438477
3,25,0.9032270312309265
3,27,0.815252959728241
3,31,0.8973464965820312
3,39,0.8150386214256287
3,47,0.8030527830123901
4,16,0.71683269739151
4,21,0.6723508834838867
4,25,0.7089254260063171
4,36,0.7091614007949829
4,42,0.919036865234375
4,61,0.6764780282974243
6,17,0.5662440657615662
8,9,0.7038701176643372
8,11,0.7498108148574829
8,14,0.7157697677612305
8,25,0.7131076455116272
8,27,0.7021271586418152
8,31,0.7567760944366455
8,38,0.736728310585022
8,42,0.7577744722366333
8,54,0.8827051520347595
9,32,0.7544904351234436
9,36,0.7121502161026001
9,38,0.7440321445465088
9,43,0.6936200857162476
9,47,0.6889011859893799
10,16,0.6833464503288269
10,43,0.7329108119010925
10,53,0.6433168053627014
10,54,0.7379863858222961
11,43,0.7521198987960815
13,21,0.8282490968704224
13,27,0.6957210898399353
13,29,0.6930819749832153
13,30,0.7445810437202454
13,32,0.7195595502853394
13,35,0.8375936150550842
13,36,0.6999682188034058
13,38,0.8618664145469666
13,42,0.676367998123169
16,47,0.8151503205299377
17,59,0.5589050650596619
19,29,0.6771705746650696
19,32,0.6410989165306091
19,42,0.702386736869812
20,30,0.6095374226570129
21,31,0.7938916683197021
21,32,0.6537978053092957
21,40,0.8017327785491943
21,43,0.874666154384613
21,54,0.779024600982666
23,39,0.64524906873703
24,38,0.7601088285446167
24,47,0.6865220665931702
25,38,0.8518686890602112
25,41,0.6966785788536072
25,47,0.7245485186576843
27,29,0.902535617351532
27,30,0.6758148074150085
27,35,0.6744630932807922
27,38,0.8141034841537476
27,40,0.7124172449111938
27,41,0.6923178434371948
27,57,0.7091829776763916
28,50,0.7352450489997864
29,39,0.6803570985794067
30,36,0.6908509731292725
30,54,0.8010658621788025
31,35,0.7008558511734009
31,36,0.7333665490150452
31,39,0.6904071569442749
31,46,0.6881700158119202
31,47,0.6925352811813354
31,57,0.6796718835830688
32,43,0.8586268424987793
32,53,0.682537853717804
32,57,0.65474933385849
35,36,0.6987342834472656
35,39,0.6704406142234802
35,41,0.689034640789032
35,43,0.7986069321632385
35,54,0.7772451639175415
36,40,0.6961353421211243
36,50,0.6985273957252502
36,51,0.7052893042564392
38,40,0.881989598274231
38,41,0.778104841709137
38,47,0.7449299693107605
39,42,0.6769425868988037
39,54,0.7281172275543213
40,54,0.8654804229736328
42,43,0.8324252367019653
42,46,0.8551849722862244
42,50,0.7182386517524719
42,54,0.824800431728363
43,54,0.8329058885574341
43,61,0.7232912182807922
46,49,0.6611049175262451
46,50,0.7408202886581421
46,53,0.6519065499305725
46,57,0.6537861227989197
47,50,0.8176248073577881
50,54,0.7716774940490723
