source,target,weight
1,4,0.6126155257225037
1,9,0.5584691166877747
1,20,0.5563424229621887
1,34,0.557344377040863
1,38,0.5345759987831116
1,43,0.5316649079322815
1,63,0.5299102663993835
4,8,0.5635268688201904
4,9,0.5554425120353699
4,20,0.5276694893836975
4,29,0.5398111939430237
4,35,0.5392313599586487
4,42,0.6337421536445618
4,44,0.5301754474639893
8,9,0.5652993321418762
8,11,0.5728495717048645
8,20,0.5654506683349609
8,25,0.5693590044975281
8,32,0.5644571185112
8,38,0.5593209862709045
8,39,0.566255509853363
9,25,0.5283058285713196
9,32,0.6086543202400208
9,39,0.5368683338165283
9,43,0.558269202709198
9,50,0.5552575588226318
11,19,0.49202418327331543
11,35,0.5236864686012268
11,43,0.5570074915885925
13,21,0.4758303463459015
19,57,0.48070719838142395
20,30,0.5292475819587708
20,32,0.5525838732719421
20,39,0.5298164486885071
20,42,0.5101931095123291
20,50,0.5315064787864685
21,31,0.4758673906326294
21,40,0.46025896072387695
21,43,0.5386072993278503
23,39,0.5379999876022339
24,38,0.5157811045646667
25,30,0.5177221894264221
25,32,0.5452563762664795
25,35,0.5115735530853271
25,38,0.5513095259666443
27,29,0.5210145711898804
27,30,0.4849497377872467
27,38,0.5127396583557129
29,44,0.4839209020137787
30,51,0.4980583190917969
30,54,0.48541060090065
31,36,0.4780609905719757
32,39,0.550499439239502
32,43,0.6025857329368591
32,51,0.5276120901107788
32,63,0.5562229156494141
34,39,0.5397493243217468
34,50,0.5195460915565491
34,51,0.532971203327179
35,39,0.5453916192054749
35,43,0.545008659362793
38,51,0.5063417553901672
39,51,0.5407645106315613
40,54,0.46957817673683167
42,43,0.5368772149085999
42,46,0.517379641532898
42,50,0.5425665378570557
42,63,0.5145429968833923
47,50,0.5223067998886108
